station_id,datapoint_id,alarm_id,event_time,value,valueThreshold,isActive
1161115016,121,308,2017-02-18 18:28:05 UTC,240.0,240.0,False
1161114050,143,312,2017-02-18 18:56:20 UTC,28.5,28.0,True
1161115040,141,312,2017-02-18 18:22:03 UTC,56.5,56.0,True
1161114008,121,308,2017-02-18 18:34:09 UTC,240.0,240.0,False
1161115040,141,312,2017-02-18 18:20:49 UTC,56.0,56.0,False
1161114050,143,312,2017-02-18 18:47:40 UTC,28.5,28.0,True
1161115016,121,308,2017-02-18 19:01:14 UTC,241.0,240.0,True
1161114061,121,301,2017-02-18 18:59:03 UTC,76.0,80.0,True
1161114011,121,308,2017-02-18 18:51:09 UTC,241.0,240.0,True
1160629000,143,313,2017-02-18 18:47:44 UTC,25.5,26.0,True
1161115036,114,303,2017-02-18 19:05:20 UTC,999999.0,999999.0,False
1161114011,121,308,2017-02-18 18:50:47 UTC,241.0,240.0,True
1161114056,121,309,2017-02-18 19:00:03 UTC,195.0,200.0,True
1161115040,141,312,2017-02-18 18:22:29 UTC,56.0,56.0,False
1161114050,143,312,2017-02-18 18:26:47 UTC,28.0,28.0,False
1161115012,121,308,2017-02-18 19:08:38 UTC,240.0,240.0,False
1161114061,121,309,2017-02-18 18:59:03 UTC,76.0,200.0,False
1161115040,141,312,2017-02-18 18:20:51 UTC,56.0,56.0,False
1161115030,121,308,2017-02-18 18:51:16 UTC,241.0,240.0,True
1161114011,121,308,2017-02-18 18:50:21 UTC,240.0,240.0,False
1161114050,143,312,2017-02-18 18:51:31 UTC,28.5,28.0,True
1161114050,143,312,2017-02-18 18:48:45 UTC,28.0,28.0,False
1161114047,121,309,2017-02-18 18:58:58 UTC,76.0,200.0,False
1161115040,141,312,2017-02-18 18:24:58 UTC,56.0,56.0,False
1161114069,121,308,2017-02-18 18:38:59 UTC,241.0,240.0,True
1161115040,141,312,2017-02-18 18:18:51 UTC,56.0,56.0,False
1161114020,121,309,2017-02-18 19:02:31 UTC,195.0,200.0,True
1161114019,115,306,2017-02-18 18:49:27 UTC,80.0,80.0,False
1161114050,143,312,2017-02-18 18:47:47 UTC,28.0,28.0,False
