processing_rate,average_ingestion_time,total_ingestion_data_size,number_of_messages

0.1418022124085645,3.076353359222412,1198,5
0.17878187008215257,2.066713047027588,2405,10
0.19597108478829345,2.0658872922261557,3606,15
0.19590889070555706,2.062541353702545,4793,20
0.2124623040219599,1.8617733669281007,5996,25
0.20244775251215838,2.226233418782552,7209,30
0.19569575202096975,2.345375667299543,8433,35
0.19094800733097061,2.310488724708557,9640,40
0.1835569398192949,2.2828392611609565,10801,45
0.18808822492492897,2.161802306175232,11976,50
0.17946450662856783,2.3340127988295123,13188,55
0.17538122773139897,2.477855396270752,14423,60
0.17430404389995863,2.5245310563307544,15631,65
0.17560221552832606,2.563880021231515,16835,70
0.17472533349293776,2.5968892828623455,18101,75
0.17204280001617286,2.6878939658403396,19323,80
0.1680699097256763,2.709617794261259,20513,85
0.17094619109503123,2.6183285501268174,21720,90
0.1704595027221164,2.591025119078787,22908,95
0.16862460215056543,2.664745604991913,24096,100
0.17107586162043248,2.5888561248779296,25274,105
0.17063980479673832,2.6105417099866,26455,110
0.1715023753792968,2.6301435594973355,27666,115
0.1686956673363385,2.6486330568790435,28874,120
0.16845046474203124,2.665380214691162,30079,125
0.1650136936125596,2.7576464121158306,31284,130
0.1648685862000535,2.8078558568601255,32476,135
0.16876244365042406,2.7813376426696776,33675,140
0.17254023240527408,2.68858752415098,34899,145
0.17021991889310858,2.7349369796117147,36147,150
0.16902223611422523,2.7780839720079977,37355,155
0.16962613665270979,2.7896714016795157,38602,160
0.16939292228046154,2.7982603044220897,39802,165
0.1717290008399138,2.747679818377775,40995,170
0.17142611324621107,2.7573239966801233,42217,175
0.17193864064272582,2.7666733291414047,43395,180
0.172445579077873,2.7482321481446963,44618,185
0.17132062477098658,2.758722247575459,45802,190
0.17030001216050472,2.7929495725876246,47028,195
0.17152352669602805,2.7753389263153077,48239,200
0.1727052059590725,2.734402125056197,49418,205
0.17242779689426044,2.742851745514643,50632,210
0.1721059010919516,2.751200427565464,51833,215
0.17176595431942723,2.7612912774086,53005,220
0.1701832798279954,2.769111147986518,54232,225
0.16996153868493794,2.754833208996317,55414,230
0.17036776227211645,2.719739305212143,56621,235
0.17015729795190737,2.748486655950546,57807,240
